ruleId,sourceFile,ruleClass,cwes,iso5055Measures,mappingStrength,analyserAdoptable,nativeEvaluability
ACL-01,acl/anti-corruption-layer.rules.json,architecture-decision,,,none,no,native-handler
ACL-02,acl/anti-corruption-layer.rules.json,architecture-decision,,,none,no,native-handler
ACL-03,acl/anti-corruption-layer.rules.json,architecture-decision,,,none,no,native-handler
ACL-04,acl/anti-corruption-layer.rules.json,architecture-decision,,,none,no,native-handler
ACL-05,acl/anti-corruption-layer.rules.json,architecture-decision,,,none,no,native-handler
ACL-06,acl/anti-corruption-layer.rules.json,architecture-decision,,,none,no,native-handler
HXA-01,adr/adr-0002-hexagonal-architecture.rules.json,code-structure,CWE-1054,Maintainability,partial,yes,native-handler
HXA-02,adr/adr-0002-hexagonal-architecture.rules.json,code-structure,CWE-1054,Maintainability,partial,yes,native-handler
HXA-03,adr/adr-0002-hexagonal-architecture.rules.json,code-structure,CWE-1054,Maintainability,partial,yes,unimplemented-native
HXA-04,adr/adr-0002-hexagonal-architecture.rules.json,code-structure,CWE-1054 CWE-1047,Maintainability,direct,yes,native-handler
HXA-05,adr/adr-0002-hexagonal-architecture.rules.json,code-structure,,,none,partial,native-handler
HXA-06,adr/adr-0002-hexagonal-architecture.rules.json,code-structure,,,none,no,unimplemented-native
HXA-07,adr/adr-0002-hexagonal-architecture.rules.json,code-structure,,,none,no,needs-runtime
CICD-01,adr/adr-0005-cicd-quality-gates.rules.json,process,,,none,partial,unimplemented-native
CICD-02,adr/adr-0005-cicd-quality-gates.rules.json,process,,,none,partial,unimplemented-native
CICD-03,adr/adr-0005-cicd-quality-gates.rules.json,process,,,none,yes,needs-external-system
CICD-04,adr/adr-0005-cicd-quality-gates.rules.json,process,,,none,no,needs-external-system
CICD-05,adr/adr-0005-cicd-quality-gates.rules.json,process,,,none,no,unimplemented-native
CICD-06,adr/adr-0005-cicd-quality-gates.rules.json,process,,,none,no,needs-external-system
CICD-07,adr/adr-0005-cicd-quality-gates.rules.json,process,,,none,no,needs-external-system
MTN-01,adr/adr-0010-multi-tenancy.rules.json,architecture-decision,CWE-1057,Performance Efficiency Security,partial,partial,unimplemented-native
MTN-02,adr/adr-0010-multi-tenancy.rules.json,architecture-decision,CWE-1057,Performance Efficiency Security,partial,no,needs-external-system
MTN-03,adr/adr-0010-multi-tenancy.rules.json,architecture-decision,,,none,no,unimplemented-native
MTN-04,adr/adr-0010-multi-tenancy.rules.json,architecture-decision,CWE-732,Security,partial,no,needs-runtime
MTN-05,adr/adr-0010-multi-tenancy.rules.json,architecture-decision,,,none,no,native-handler
MTN-06,adr/adr-0010-multi-tenancy.rules.json,architecture-decision,,,none,no,needs-runtime
MTN-07,adr/adr-0010-multi-tenancy.rules.json,architecture-decision,,,none,no,unimplemented-native
MTN-08,adr/adr-0010-multi-tenancy.rules.json,architecture-decision,,,none,no,unimplemented-native
TPY-01,adr/adr-0018-testing-pyramid.rules.json,process,,,none,no,needs-runtime
TPY-02,adr/adr-0018-testing-pyramid.rules.json,process,,,none,no,needs-runtime
TPY-03,adr/adr-0018-testing-pyramid.rules.json,process,,,none,no,unimplemented-native
TPY-04,adr/adr-0018-testing-pyramid.rules.json,process,,,none,no,unimplemented-native
TPY-05,adr/adr-0018-testing-pyramid.rules.json,process,,,none,no,needs-runtime
TPY-06,adr/adr-0018-testing-pyramid.rules.json,process,,,none,no,unimplemented-native
TPY-07,adr/adr-0018-testing-pyramid.rules.json,process,,,none,no,needs-runtime
PROT-01,adr/adr-0032-protocol-selection.rules.json,architecture-decision,,,none,no,needs-runtime
PROT-02,adr/adr-0032-protocol-selection.rules.json,architecture-decision,,,none,no,unimplemented-native
PROT-03,adr/adr-0032-protocol-selection.rules.json,architecture-decision,,,none,no,documentation-only
PROT-04,adr/adr-0032-protocol-selection.rules.json,architecture-decision,,,none,no,unimplemented-native
PROT-05,adr/adr-0032-protocol-selection.rules.json,architecture-decision,,,none,no,unimplemented-native
PROT-06,adr/adr-0032-protocol-selection.rules.json,architecture-decision,,,none,no,documentation-only
PROT-07,adr/adr-0032-protocol-selection.rules.json,architecture-decision,,,none,no,unimplemented-native
RUNT-01,adr/adr-0040-multi-runtime.rules.json,architecture-decision,,,none,no,unimplemented-native
RUNT-02,adr/adr-0040-multi-runtime.rules.json,architecture-decision,,,none,no,unimplemented-native
RUNT-03,adr/adr-0040-multi-runtime.rules.json,architecture-decision,,,none,no,unimplemented-native
RUNT-04,adr/adr-0040-multi-runtime.rules.json,architecture-decision,,,none,no,unimplemented-native
RUNT-05,adr/adr-0040-multi-runtime.rules.json,architecture-decision,,,none,no,unimplemented-native
RUNT-06,adr/adr-0040-multi-runtime.rules.json,architecture-decision,,,none,no,unimplemented-native
RUNT-07,adr/adr-0040-multi-runtime.rules.json,architecture-decision,,,none,no,unimplemented-native
RUNT-08,adr/adr-0040-multi-runtime.rules.json,architecture-decision,,,none,no,unimplemented-native
GIT-01,adr/adr-0050-gitflow-branching.rules.json,process,,,none,yes,needs-external-system
GIT-02,adr/adr-0050-gitflow-branching.rules.json,process,,,none,no,needs-external-system
GIT-03,adr/adr-0050-gitflow-branching.rules.json,process,,,none,no,needs-external-system
GIT-04,adr/adr-0050-gitflow-branching.rules.json,process,,,none,yes,needs-external-system
GIT-05,adr/adr-0050-gitflow-branching.rules.json,process,,,none,no,needs-external-system
GIT-06,adr/adr-0050-gitflow-branching.rules.json,process,,,none,no,needs-external-system
GIT-07,adr/adr-0050-gitflow-branching.rules.json,process,,,none,no,needs-external-system
GIT-08,adr/adr-0050-gitflow-branching.rules.json,process,,,none,yes,native-handler
GIT-09,adr/adr-0050-gitflow-branching.rules.json,process,,,none,no,needs-external-system
GIT-10,adr/adr-0050-gitflow-branching.rules.json,process,,,none,no,needs-external-system
CORE-0001-01,adr/generated/adr-0001-monorepo-orchestration-principle.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0006-01,adr/generated/adr-0006-microservices-transition-via-sidecar-pattern.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0009-01,adr/generated/adr-0009-strict-dependency-pinning-and-automated-vulnerability-manage.rules.json,architecture-decision,,,none,yes,documentation-only
CORE-0011-01,adr/generated/adr-0011-fault-tolerance-and-resiliency-patterns.rules.json,architecture-decision,CWE-703 CWE-390,Reliability,partial,partial,documentation-only
CORE-0013-01,adr/generated/adr-0013-cloud-infrastructure-topology-and-disaster-recovery-dr.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0014-01,adr/generated/adr-0014-multi-layer-distributed-caching-strategy.rules.json,architecture-decision,CWE-1049 CWE-1067,Maintainability Performance Efficiency,partial,partial,documentation-only
CORE-0015-01,adr/generated/adr-0015-event-driven-architecture-eda-for-intra-domain-communication.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0016-01,adr/generated/adr-0016-immutable-business-audit-trail-and-change-tracking.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0017-01,adr/generated/adr-0017-feature-flagging-strategy-for-progressive-delivery.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0019-01,adr/generated/adr-0019-tactical-design-patterns-for-future-proofing.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0020-01,adr/generated/adr-0020-identity-provider-abstraction-strategy.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0024-01,adr/generated/adr-0024-centralized-configuration-feature-platform.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0025-01,adr/generated/adr-0025-feature-flag-provider-abstraction-strategy.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0028-01,adr/generated/adr-0028-self-hosted-open-source-hybrid-infrastructure.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0030-01,adr/generated/adr-0030-two-tier-distributed-gateway-model.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0031-01,adr/generated/adr-0031-schema-per-bounded-context-and-domain-event-catalog.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0033-01,adr/generated/adr-0033-transactional-outbox-pattern-for-async-messaging.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0034-01,adr/generated/adr-0034-cqrs-pattern-application-matrix.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0035-01,adr/generated/adr-0035-distributed-saga-pattern-implementation-strategy.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0036-01,adr/generated/adr-0036-message-bus-delivery-flow-control-strategy.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0037-01,adr/generated/adr-0037-enterprise-performance-concurrency-chaos-verification-strate.rules.json,architecture-decision,CWE-407 CWE-1050,Maintainability Performance Efficiency,partial,partial,documentation-only
CORE-0039-01,adr/generated/adr-0039-deployment-topology-abstraction-environment-switcher.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0041-01,adr/generated/adr-0041-dual-engine-policy-evaluation-native-opa.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0044-01,adr/generated/adr-0044-configurable-security-persistence-strategy-agnosticism-vs-na.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0045-01,adr/generated/adr-0045-microservice-extraction-readiness-criteria.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0046-01,adr/generated/adr-0046-unified-traceability-via-w3c-tracecontext.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0047-01,adr/generated/adr-0047-progressive-architecture-evolution-framework-modular-monolit.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0048-01,adr/generated/adr-0048-enterprise-taxonomy-standardization-and-reference-layout.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0049-01,adr/generated/adr-0049-naming-semantics-clean-code-policy-e2e-and-global.rules.json,architecture-decision,,,none,yes,documentation-only
CORE-0051-01,adr/generated/adr-0051-enterprise-database-engine-selection-strategy.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0052-01,adr/generated/adr-0052-unit-testing-isolation-strategy-mocks-vs-stubs.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0053-01,adr/generated/adr-0053-integration-and-e2e-testing-strategy.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0054-01,adr/generated/adr-0054-database-design-and-normalization-standards.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0055-01,adr/generated/adr-0055-microfrontends-architecture-strategy.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0056-01,adr/generated/adr-0056-enterprise-naming-design-conventions-multi-language-multi-pl.rules.json,architecture-decision,,,none,yes,documentation-only
CORE-0057-01,adr/generated/adr-0057-architecture-intelligence-catalog.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0058-01,adr/generated/adr-0058-ai-consumable-architecture-knowledge.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0067-01,adr/generated/adr-0067-modular-monolith-persistence-boundaries.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0068-01,adr/generated/adr-0068-documentation-release-gitflow.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0069-01,adr/generated/adr-0069-ai-agent-context-protocol-integration.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0070-01,adr/generated/adr-0070-lean-root-repository-taxonomy.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0071-01,adr/generated/adr-0071-domain-layer-base-class-and-inheritance-strategy.rules.json,architecture-decision,CWE-1074 CWE-1086,Maintainability,partial,partial,documentation-only
CORE-0072-01,adr/generated/adr-0072-utc-date-storage-browser-timezone-detection-and-language-res.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0073-01,adr/generated/adr-0073-unified-cli-mcp-output-contract-and-gate-evidence-schema.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0074-01,adr/generated/adr-0074-evolith-core-api-native-exposure-layer.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0075-01,adr/generated/adr-0075-core-api-authentication-strategy.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0076-01,adr/generated/adr-0076-domain-oriented-microservice-architecture-doma.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0077-01,adr/generated/adr-0077-masstransit-v9-commercial-pivot-stay-on-v8-monitor-opentrans.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0078-01,adr/generated/adr-0078-domain-financial-separation-governance.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0079-01,adr/generated/adr-0079-multi-topology-reference-corpus-and-topology-manifest-contra.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0080-01,adr/generated/adr-0080-remote-repository-reference-contract.rules.json,architecture-decision,,,none,no,documentation-only
CORE-0081-01,adr/generated/adr-0081-agentic-ai-sandbox-isolation-boundary.rules.json,architecture-decision,,,none,no,documentation-only
